match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,John Brown,NA,4.5,1.08,BetRight,54040755,John Brown 5+,1,294797053,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,John Brown,NA,7.5,1.36,BetRight,54040755,John Brown 8+,2,294797054,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,John Brown,NA,9.5,1.75,BetRight,54040755,John Brown 10+,3,294797055,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,John Brown,NA,11.5,2.5,BetRight,54040755,John Brown 12+,4,294797056,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,John Brown,NA,14.5,5,BetRight,54040755,John Brown 15+,5,294797057,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Ian Clark,NA,4.5,1.11,BetRight,54040756,Ian Clark 5+,1,294797058,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Ian Clark,NA,7.5,1.48,BetRight,54040756,Ian Clark 8+,2,294797059,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Ian Clark,NA,9.5,1.95,BetRight,54040756,Ian Clark 10+,3,294797060,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Ian Clark,NA,11.5,2.75,BetRight,54040756,Ian Clark 12+,4,294797061,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Ian Clark,NA,14.5,5,BetRight,54040756,Ian Clark 15+,5,294797062,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Owen Foxwell,South East Melbourne Phoenix,9.5,1.22,BetRight,54040757,Owen Foxwell 10+,1,294797063,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Owen Foxwell,South East Melbourne Phoenix,11.5,1.44,BetRight,54040757,Owen Foxwell 12+,2,294797064,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Owen Foxwell,South East Melbourne Phoenix,14.5,2.1,BetRight,54040757,Owen Foxwell 15+,3,294797065,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Owen Foxwell,South East Melbourne Phoenix,17.5,3.4,BetRight,54040757,Owen Foxwell 18+,4,294797066,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Owen Foxwell,South East Melbourne Phoenix,19.5,5,BetRight,54040757,Owen Foxwell 20+,5,294797067,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Angus Glover,South East Melbourne Phoenix,9.5,1.35,BetRight,54040758,Angus Glover 10+,1,294797068,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Angus Glover,South East Melbourne Phoenix,11.5,1.65,BetRight,54040758,Angus Glover 12+,2,294797069,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Angus Glover,South East Melbourne Phoenix,14.5,2.4,BetRight,54040758,Angus Glover 15+,3,294797070,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Angus Glover,South East Melbourne Phoenix,17.5,4.1,BetRight,54040758,Angus Glover 18+,4,294797071,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Angus Glover,South East Melbourne Phoenix,19.5,6,BetRight,54040758,Angus Glover 20+,5,294797072,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Jordan Hunter,South East Melbourne Phoenix,9.5,1.32,BetRight,54040759,Jordan Hunter 10+,1,294797073,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Jordan Hunter,South East Melbourne Phoenix,11.5,1.62,BetRight,54040759,Jordan Hunter 12+,2,294797074,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Jordan Hunter,South East Melbourne Phoenix,14.5,2.4,BetRight,54040759,Jordan Hunter 15+,3,294797075,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Jordan Hunter,South East Melbourne Phoenix,17.5,4.1,BetRight,54040759,Jordan Hunter 18+,4,294797076,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Jordan Hunter,South East Melbourne Phoenix,19.5,6,BetRight,54040759,Jordan Hunter 20+,5,294797077,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Wesley Iwundu,NA,4.5,1.08,BetRight,54040760,Wesley Iwundu 5+,1,294797078,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Wesley Iwundu,NA,7.5,1.36,BetRight,54040760,Wesley Iwundu 8+,2,294797079,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Wesley Iwundu,NA,9.5,1.78,BetRight,54040760,Wesley Iwundu 10+,3,294797080,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Wesley Iwundu,NA,11.5,2.4,BetRight,54040760,Wesley Iwundu 12+,4,294797081,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Wesley Iwundu,NA,14.5,4.6,BetRight,54040760,Wesley Iwundu 15+,5,294797082,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Nathan Sobey,South East Melbourne Phoenix,17.5,1.13,BetRight,54040761,Nathan Sobey 18+,1,294797083,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Nathan Sobey,South East Melbourne Phoenix,19.5,1.25,BetRight,54040761,Nathan Sobey 20+,2,294797084,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Nathan Sobey,South East Melbourne Phoenix,24.5,1.8,BetRight,54040761,Nathan Sobey 25+,3,294797085,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Nathan Sobey,South East Melbourne Phoenix,29.5,3.1,BetRight,54040761,Nathan Sobey 30+,4,294797086,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Nathan Sobey,South East Melbourne Phoenix,34.5,6.75,BetRight,54040761,Nathan Sobey 35+,5,294797087,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Joseph Lual-Acuil,NA,9.5,1.08,BetRight,54040762,Joseph Lual-Acuil 10+,1,294797088,NA
