match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Flynn Cameron,Adelaide 36ers,2.5,1.2,BetRight,54782825,Flynn Cameron 3+,1,297875369,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Flynn Cameron,Adelaide 36ers,4.5,2.1,BetRight,54782825,Flynn Cameron 5+,2,297875371,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Flynn Cameron,Adelaide 36ers,6.5,5,BetRight,54782825,Flynn Cameron 7+,3,297875370,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Zylan Cheatham,Adelaide 36ers,4.5,1.02,BetRight,54782826,Zylan Cheatham 5+,1,297875372,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Zylan Cheatham,Adelaide 36ers,6.5,1.13,BetRight,54782826,Zylan Cheatham 7+,2,297875375,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Zylan Cheatham,Adelaide 36ers,9.5,1.75,BetRight,54782826,Zylan Cheatham 10+,3,297875373,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Zylan Cheatham,Adelaide 36ers,11.5,2.8,BetRight,54782826,Zylan Cheatham 12+,4,297875376,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Zylan Cheatham,Adelaide 36ers,14.5,6.75,BetRight,54782826,Zylan Cheatham 15+,5,297875374,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Bryce Cotton,Adelaide 36ers,2.5,1.33,BetRight,54782827,Bryce Cotton 3+,1,297875379,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Bryce Cotton,Adelaide 36ers,4.5,2.63,BetRight,54782827,Bryce Cotton 5+,2,297875377,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Bryce Cotton,Adelaide 36ers,6.5,7,BetRight,54782827,Bryce Cotton 7+,3,297875378,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Isaac Humphries,Adelaide 36ers,4.5,1.4,BetRight,54782828,Isaac Humphries 5+,1,297875383,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Isaac Humphries,Adelaide 36ers,6.5,2.5,BetRight,54782828,Isaac Humphries 7+,2,297875380,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Isaac Humphries,Adelaide 36ers,9.5,8,BetRight,54782828,Isaac Humphries 10+,3,297875382,South East Melbourne Phoenix
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,John Brown,NA,4.5,1.14,BetRight,54782829,John Brown 5+,1,297875386,NA
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,John Brown,NA,6.5,1.55,BetRight,54782829,John Brown 7+,2,297875387,NA
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,John Brown,NA,9.5,3.6,BetRight,54782829,John Brown 10+,3,297875385,NA
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,John Brown,NA,11.5,8,BetRight,54782829,John Brown 12+,4,297875384,NA
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Ian Clark,South East Melbourne Phoenix,2.5,2.38,BetRight,54782830,Ian Clark 3+,1,297875388,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Ian Clark,South East Melbourne Phoenix,4.5,8.5,BetRight,54782830,Ian Clark 5+,2,297875389,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Owen Foxwell,South East Melbourne Phoenix,2.5,1.62,BetRight,54782831,Owen Foxwell 3+,1,297875391,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Owen Foxwell,South East Melbourne Phoenix,4.5,4.2,BetRight,54782831,Owen Foxwell 5+,2,297875390,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Angus Glover,South East Melbourne Phoenix,2.5,1.57,BetRight,54782832,Angus Glover 3+,1,297875393,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Angus Glover,South East Melbourne Phoenix,4.5,4,BetRight,54782832,Angus Glover 5+,2,297875392,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Jordan Hunter,South East Melbourne Phoenix,2.5,1.08,BetRight,54782833,Jordan Hunter 3+,1,297875395,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Jordan Hunter,South East Melbourne Phoenix,4.5,1.5,BetRight,54782833,Jordan Hunter 5+,2,297875394,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Jordan Hunter,South East Melbourne Phoenix,6.5,2.75,BetRight,54782833,Jordan Hunter 7+,3,297875396,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Wesley Iwundu,NA,2.5,1.29,BetRight,54782834,Wesley Iwundu 3+,1,297875397,NA
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Wesley Iwundu,NA,4.5,2.4,BetRight,54782834,Wesley Iwundu 5+,2,297875399,NA
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Wesley Iwundu,NA,6.5,6.25,BetRight,54782834,Wesley Iwundu 7+,3,297875398,NA
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Malique Lewis,South East Melbourne Phoenix,2.5,1.18,BetRight,54782835,Malique Lewis 3+,1,297875401,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Malique Lewis,South East Melbourne Phoenix,4.5,1.96,BetRight,54782835,Malique Lewis 5+,2,297875400,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Malique Lewis,South East Melbourne Phoenix,6.5,4.5,BetRight,54782835,Malique Lewis 7+,3,297875402,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Nathan Sobey,South East Melbourne Phoenix,2.5,1.22,BetRight,54782846,Nathan Sobey 3+,1,297875451,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Nathan Sobey,South East Melbourne Phoenix,4.5,2.15,BetRight,54782846,Nathan Sobey 5+,2,297875450,Adelaide 36ers
Adelaide 36ers v South East Melbourne Phoenix,Adelaide 36ers,South East Melbourne Phoenix,Player Rebounds,Nathan Sobey,South East Melbourne Phoenix,6.5,5.25,BetRight,54782846,Nathan Sobey 7+,3,297875452,Adelaide 36ers
Illawarra Hawks v Perth Wildcats,Illawarra Hawks,Perth Wildcats,Player Rebounds,Tyler Harvey,Illawarra Hawks,2.5,1.5,BetRight,54819862,Tyler Harvey 3+,1,298025189,Perth Wildcats
Illawarra Hawks v Perth Wildcats,Illawarra Hawks,Perth Wildcats,Player Rebounds,Tyler Harvey,Illawarra Hawks,4.5,3.75,BetRight,54819862,Tyler Harvey 5+,2,298025188,Perth Wildcats
Illawarra Hawks v Perth Wildcats,Illawarra Hawks,Perth Wildcats,Player Rebounds,William Hickey,Illawarra Hawks,2.5,1.1,BetRight,54819863,William Hickey 3+,1,298025192,Perth Wildcats
Illawarra Hawks v Perth Wildcats,Illawarra Hawks,Perth Wildcats,Player Rebounds,William Hickey,Illawarra Hawks,4.5,1.57,BetRight,54819863,William Hickey 5+,2,298025190,Perth Wildcats
Illawarra Hawks v Perth Wildcats,Illawarra Hawks,Perth Wildcats,Player Rebounds,William Hickey,Illawarra Hawks,6.5,3,BetRight,54819863,William Hickey 7+,3,298025191,Perth Wildcats
Illawarra Hawks v Perth Wildcats,Illawarra Hawks,Perth Wildcats,Player Rebounds,JaVale McGee,Illawarra Hawks,4.5,1.02,BetRight,54819864,Javale McGee 5+,1,298025193,Perth Wildcats
Illawarra Hawks v Perth Wildcats,Illawarra Hawks,Perth Wildcats,Player Rebounds,JaVale McGee,Illawarra Hawks,6.5,1.13,BetRight,54819864,Javale McGee 7+,2,298025196,Perth Wildcats
Illawarra Hawks v Perth Wildcats,Illawarra Hawks,Perth Wildcats,Player Rebounds,JaVale McGee,Illawarra Hawks,9.5,1.68,BetRight,54819864,Javale McGee 10+,3,298025194,Perth Wildcats
Illawarra Hawks v Perth Wildcats,Illawarra Hawks,Perth Wildcats,Player Rebounds,JaVale McGee,Illawarra Hawks,11.5,2.63,BetRight,54819864,Javale McGee 12+,4,298025197,Perth Wildcats
Illawarra Hawks v Perth Wildcats,Illawarra Hawks,Perth Wildcats,Player Rebounds,JaVale McGee,Illawarra Hawks,14.5,7,BetRight,54819864,Javale McGee 15+,5,298025195,Perth Wildcats
Illawarra Hawks v Perth Wildcats,Illawarra Hawks,Perth Wildcats,Player Rebounds,Mason Peatling,Illawarra Hawks,2.5,1.17,BetRight,54819865,Mason Peatling 3+,1,298025200,Perth Wildcats
