match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,group_by_header,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Jonah Bolden,New Zealand Breakers,0.5,1.26,BetRight,Player Three Pointers - Jonah Bolden (NZB),41489445,Jonah Bolden 1+,1,242393926,Tasmania JackJumpers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Jonah Bolden,New Zealand Breakers,1.5,2.15,BetRight,Player Three Pointers - Jonah Bolden (NZB),41489445,Jonah Bolden 2+,2,242393927,Tasmania JackJumpers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Jonah Bolden,New Zealand Breakers,2.5,4.6,BetRight,Player Three Pointers - Jonah Bolden (NZB),41489445,Jonah Bolden 3+,3,242393928,Tasmania JackJumpers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Sam Mennenga,New Zealand Breakers,0.5,1.38,BetRight,Player Three Pointers - Sam Mennenga (NZB),41489446,Sam Mennenga 1+,1,242393929,Tasmania JackJumpers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Sam Mennenga,New Zealand Breakers,1.5,2.75,BetRight,Player Three Pointers - Sam Mennenga (NZB),41489446,Sam Mennenga 2+,2,242393930,Tasmania JackJumpers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Matt Mooney,New Zealand Breakers,1.5,1.21,BetRight,Player Three Pointers - Matt Mooney (NZB),41489447,Matt Mooney 2+,1,242393931,Tasmania JackJumpers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Matt Mooney,New Zealand Breakers,2.5,1.67,BetRight,Player Three Pointers - Matt Mooney (NZB),41489447,Matt Mooney 3+,2,242393932,Tasmania JackJumpers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Matt Mooney,New Zealand Breakers,3.5,2.6,BetRight,Player Three Pointers - Matt Mooney (NZB),41489447,Matt Mooney 4+,3,242393933,Tasmania JackJumpers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Jordan Crawford,Tasmania JackJumpers,1.5,1.42,BetRight,Player Three Pointers - Jordan Crawford (TJJ),41489448,Jordan Crawford 2+,1,242393934,New Zealand Breakers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Jordan Crawford,Tasmania JackJumpers,2.5,2.3,BetRight,Player Three Pointers - Jordan Crawford (TJJ),41489448,Jordan Crawford 3+,2,242393935,New Zealand Breakers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Jordan Crawford,Tasmania JackJumpers,3.5,4.33,BetRight,Player Three Pointers - Jordan Crawford (TJJ),41489448,Jordan Crawford 4+,3,242393936,New Zealand Breakers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Milton Doyle,Tasmania JackJumpers,1.5,1.38,BetRight,Player Three Pointers - Milton Doyle (TJJ),41489450,Milton Doyle 2+,1,242393940,New Zealand Breakers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Milton Doyle,Tasmania JackJumpers,2.5,2.15,BetRight,Player Three Pointers - Milton Doyle (TJJ),41489450,Milton Doyle 3+,2,242393941,New Zealand Breakers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Milton Doyle,Tasmania JackJumpers,3.5,3.9,BetRight,Player Three Pointers - Milton Doyle (TJJ),41489450,Milton Doyle 4+,3,242393942,New Zealand Breakers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Anthony Drmic,Tasmania JackJumpers,0.5,1.21,BetRight,Player Three Pointers - Anthony  Drmic (TJJ),41489451,Anthony Drmic 1+,1,242393943,New Zealand Breakers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Anthony Drmic,Tasmania JackJumpers,1.5,2,BetRight,Player Three Pointers - Anthony  Drmic (TJJ),41489451,Anthony Drmic 2+,2,242393944,New Zealand Breakers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Anthony Drmic,Tasmania JackJumpers,2.5,4,BetRight,Player Three Pointers - Anthony  Drmic (TJJ),41489451,Anthony Drmic 3+,3,242393945,New Zealand Breakers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Clint Steindl,Tasmania JackJumpers,0.5,1.26,BetRight,Player Three Pointers - Clint  Steindl (TJJ),41489452,Clint Steindl 1+,1,242393946,New Zealand Breakers
New Zealand Breakers v Tasmania JackJumpers,New Zealand Breakers,Tasmania JackJumpers,Player Threes,Clint Steindl,Tasmania JackJumpers,1.5,2.3,BetRight,Player Three Pointers - Clint  Steindl (TJJ),41489452,Clint Steindl 2+,2,242393947,New Zealand Breakers
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Darius Days,Illawarra Hawks,0.5,1.11,BetRight,Player Three Pointers - Darius Days (ILL),41521415,Darius Days 1+,1,242539182,Melbourne United
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Darius Days,Illawarra Hawks,1.5,1.55,BetRight,Player Three Pointers - Darius Days (ILL),41521415,Darius Days 2+,2,242539183,Melbourne United
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Darius Days,Illawarra Hawks,2.5,2.63,BetRight,Player Three Pointers - Darius Days (ILL),41521415,Darius Days 3+,3,242539184,Melbourne United
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Tyler Harvey,Illawarra Hawks,2.5,1.4,BetRight,Player Three Pointers - Tyler Harvey (ILL),41521416,Tyler Harvey 3+,1,242539185,Melbourne United
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Tyler Harvey,Illawarra Hawks,3.5,2,BetRight,Player Three Pointers - Tyler Harvey (ILL),41521416,Tyler Harvey 4+,2,242539186,Melbourne United
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Tyler Harvey,Illawarra Hawks,4.5,3.25,BetRight,Player Three Pointers - Tyler Harvey (ILL),41521416,Tyler Harvey 5+,3,242539187,Melbourne United
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Will Hickey,NA,0.5,1.73,BetRight,Player Three Pointers - William Hickey (ILL),41521417,William Hickey 1+,1,242539188,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Will Hickey,NA,1.5,4.6,BetRight,Player Three Pointers - William Hickey (ILL),41521417,William Hickey 2+,2,242539189,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Trey Kell,Illawarra Hawks,0.5,1.11,BetRight,Player Three Pointers - Trey Kell (ILL),41521418,Trey Kell 1+,1,242539190,Melbourne United
