match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Melbourne United v Brisbane Bullets,Melbourne United,Brisbane Bullets,Finn Delany,Melbourne United,Brisbane Bullets,Player Points,13.5,1.79,1.79,Dabble Pickem
Melbourne United v Brisbane Bullets,Melbourne United,Brisbane Bullets,Alex Ducas,Brisbane Bullets,Melbourne United,Player Points,9.5,1.79,1.79,Dabble Pickem
Melbourne United v Brisbane Bullets,Melbourne United,Brisbane Bullets,Chris Goulding,Melbourne United,Brisbane Bullets,Player Points,14.5,1.79,1.79,Dabble Pickem
Melbourne United v Brisbane Bullets,Melbourne United,Brisbane Bullets,Tyson Walker,Melbourne United,Brisbane Bullets,Player Points,14.5,1.79,1.79,Dabble Pickem
Melbourne United v Brisbane Bullets,Melbourne United,Brisbane Bullets,Mitchell Norton,Brisbane Bullets,Melbourne United,Player Points,8.5,1.79,1.79,Dabble Pickem
Melbourne United v Brisbane Bullets,Melbourne United,Brisbane Bullets,Taine Murray,Brisbane Bullets,Melbourne United,Player Points,7.5,1.79,1.79,Dabble Pickem
Melbourne United v Brisbane Bullets,Melbourne United,Brisbane Bullets,Milton Doyle,Melbourne United,Brisbane Bullets,Player Points,14.5,1.79,1.79,Dabble Pickem
Melbourne United v Brisbane Bullets,Melbourne United,Brisbane Bullets,Jesse Edwards,Melbourne United,Brisbane Bullets,Player Points,14.5,1.79,1.79,Dabble Pickem
Melbourne United v Brisbane Bullets,Melbourne United,Brisbane Bullets,Tyrell Harrison,Brisbane Bullets,Melbourne United,Player Points,17.5,1.79,1.79,Dabble Pickem
Melbourne United v Brisbane Bullets,Melbourne United,Brisbane Bullets,Dakota Mathias,Brisbane Bullets,Melbourne United,Player Points,13.5,1.79,1.79,Dabble Pickem
Perth Wildcats v New Zealand Breakers,Perth Wildcats,New Zealand Breakers,Samuel Mennenga,NA,NA,Player Points,17,1.79,1.79,Dabble Pickem
Perth Wildcats v New Zealand Breakers,Perth Wildcats,New Zealand Breakers,Robert Baker Jr.,NA,NA,Player Points,11,1.79,1.79,Dabble Pickem
Perth Wildcats v New Zealand Breakers,Perth Wildcats,New Zealand Breakers,Parker Jackson-Cartwright,New Zealand Breakers,Perth Wildcats,Player Points,18.5,1.79,1.79,Dabble Pickem
Perth Wildcats v New Zealand Breakers,Perth Wildcats,New Zealand Breakers,Jo Lual-Acuil Jr,Perth Wildcats,New Zealand Breakers,Player Points,20,1.79,1.79,Dabble Pickem
Perth Wildcats v New Zealand Breakers,Perth Wildcats,New Zealand Breakers,Izaiah Brockington,New Zealand Breakers,Perth Wildcats,Player Points,14.5,1.79,1.79,Dabble Pickem
Perth Wildcats v New Zealand Breakers,Perth Wildcats,New Zealand Breakers,Kristian Doolittle,Perth Wildcats,New Zealand Breakers,Player Points,15,1.79,1.79,Dabble Pickem
Perth Wildcats v New Zealand Breakers,Perth Wildcats,New Zealand Breakers,David Duke,NA,NA,Player Points,14.5,1.79,1.79,Dabble Pickem
Perth Wildcats v New Zealand Breakers,Perth Wildcats,New Zealand Breakers,Jaron Rillie,Perth Wildcats,New Zealand Breakers,Player Points,10.5,1.79,1.79,Dabble Pickem
Perth Wildcats v New Zealand Breakers,Perth Wildcats,New Zealand Breakers,Dylan Windler,Perth Wildcats,New Zealand Breakers,Player Points,15,1.79,1.79,Dabble Pickem
Perth Wildcats v New Zealand Breakers,Perth Wildcats,New Zealand Breakers,Karim López,New Zealand Breakers,Perth Wildcats,Player Points,10.5,1.79,1.79,Dabble Pickem
