match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Illawarra Hawks v Sydney Kings,Illawarra Hawks,Sydney Kings,Q.J. Peterson,NA,NA,Player PRAs,21.5,1.79,1.79,Dabble Pickem
Illawarra Hawks v Sydney Kings,Illawarra Hawks,Sydney Kings,Bul Kuol,Sydney Kings,Illawarra Hawks,Player PRAs,14,1.79,1.79,Dabble Pickem
Illawarra Hawks v Sydney Kings,Illawarra Hawks,Sydney Kings,Tyler Harvey,Illawarra Hawks,Sydney Kings,Player PRAs,23,1.79,1.79,Dabble Pickem
Illawarra Hawks v Sydney Kings,Illawarra Hawks,Sydney Kings,Xavier Cooks,Sydney Kings,Illawarra Hawks,Player PRAs,27,1.79,1.79,Dabble Pickem
Illawarra Hawks v Sydney Kings,Illawarra Hawks,Sydney Kings,Tim Soares,Sydney Kings,Illawarra Hawks,Player PRAs,20,1.79,1.79,Dabble Pickem
Illawarra Hawks v Sydney Kings,Illawarra Hawks,Sydney Kings,William Hickey,Illawarra Hawks,Sydney Kings,Player PRAs,32.5,1.79,1.79,Dabble Pickem
Illawarra Hawks v Sydney Kings,Illawarra Hawks,Sydney Kings,Kouat Noi,Sydney Kings,Illawarra Hawks,Player PRAs,17,1.79,1.79,Dabble Pickem
Illawarra Hawks v Sydney Kings,Illawarra Hawks,Sydney Kings,Kendric Davis,Sydney Kings,Illawarra Hawks,Player PRAs,33.5,1.79,1.79,Dabble Pickem
Illawarra Hawks v Sydney Kings,Illawarra Hawks,Sydney Kings,Matthew Dellavedova,Sydney Kings,Illawarra Hawks,Player PRAs,19,1.79,1.79,Dabble Pickem
Illawarra Hawks v Sydney Kings,Illawarra Hawks,Sydney Kings,JaVale McGee,Illawarra Hawks,Sydney Kings,Player PRAs,37,1.79,1.79,Dabble Pickem
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Dejan Vasiljevic,Adelaide 36ers,Cairns Taipans,Player PRAs,16.5,1.79,1.79,Dabble Pickem
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Admiral Schofield,Cairns Taipans,Adelaide 36ers,Player PRAs,22,1.79,1.79,Dabble Pickem
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Andrew Andrews,Cairns Taipans,Adelaide 36ers,Player PRAs,24,1.79,1.79,Dabble Pickem
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Jack McVeigh,Cairns Taipans,Adelaide 36ers,Player PRAs,30,1.79,1.79,Dabble Pickem
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Bryce Cotton,Adelaide 36ers,Cairns Taipans,Player PRAs,37.5,1.79,1.79,Dabble Pickem
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Zylan Cheatham,Adelaide 36ers,Cairns Taipans,Player PRAs,27,1.79,1.79,Dabble Pickem
