match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Elijah Pepper,Perth Wildcats,Adelaide 36ers,Player Points,11.5,1.9,1.8,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Bryce Cotton,Adelaide 36ers,Perth Wildcats,Player Points,24.5,1.9,1.8,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Kristian Doolittle,Perth Wildcats,Adelaide 36ers,Player Points,16.5,1.95,1.75,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,David Duke,NA,NA,Player Points,15.5,1.9,1.8,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Jo Lual-Acuil Jr,Perth Wildcats,Adelaide 36ers,Player Points,15.5,1.82,1.88,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Zylan Cheatham,Adelaide 36ers,Perth Wildcats,Player Points,12.5,1.9,1.8,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Dejan Vasiljevic,Adelaide 36ers,Perth Wildcats,Player Points,12.5,1.9,1.8,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Isaac Humphries,Adelaide 36ers,Perth Wildcats,Player Points,15.5,1.9,1.8,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Bryce Cotton,Adelaide 36ers,Perth Wildcats,Player Points,34.5,8,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Bryce Cotton,Adelaide 36ers,Perth Wildcats,Player Points,29.5,2.75,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Isaac Humphries,Adelaide 36ers,Perth Wildcats,Player Points,17.5,2.3,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Joseph Lual-Acuil,NA,NA,Player Points,17.5,2.3,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Jr. Duke,NA,NA,Player Points,17.5,2.4,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Dejan Vasiljevic,Adelaide 36ers,Perth Wildcats,Player Points,17.5,4.2,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Dylan Windler,Perth Wildcats,Adelaide 36ers,Player Points,17.5,4.33,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Zylan Cheatham,Adelaide 36ers,Perth Wildcats,Player Points,17.5,5.25,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Eli Pepper,NA,NA,Player Points,17.5,7,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Flynn Cameron,Adelaide 36ers,Perth Wildcats,Player Points,17.5,7,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Kristian Doolittle,Perth Wildcats,Adelaide 36ers,Player Points,9.5,1.12,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Jo Lual-Acuil Jr,Perth Wildcats,Adelaide 36ers,Player Points,9.5,1.14,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Isaac Humphries,Adelaide 36ers,Perth Wildcats,Player Points,9.5,1.15,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,David Duke,NA,NA,Player Points,9.5,1.15,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Dejan Vasiljevic,Adelaide 36ers,Perth Wildcats,Player Points,9.5,1.38,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Zylan Cheatham,Adelaide 36ers,Perth Wildcats,Player Points,9.5,1.38,NA,Dabble
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,Elijah Pepper,Perth Wildcats,Adelaide 36ers,Player Points,9.5,1.5,NA,Dabble
