match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Finn Delany,Melbourne United,Tasmania JackJumpers,Player PRAs,13.5,1.15,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Tyger Campbell,Tasmania JackJumpers,Melbourne United,Player PRAs,13.5,1.18,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Chris Goulding,Melbourne United,Tasmania JackJumpers,Player PRAs,13.5,1.48,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Joshua Bannan,NA,NA,Player PRAs,19.5,1.03,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Tyson Walker,Melbourne United,Tasmania JackJumpers,Player PRAs,19.5,1.15,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,David Johnson,Tasmania JackJumpers,Melbourne United,Player PRAs,19.5,1.18,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Milton Doyle,Melbourne United,Tasmania JackJumpers,Player PRAs,19.5,1.21,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Majok Deng,Tasmania JackJumpers,Melbourne United,Player PRAs,19.5,1.26,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Nick Marshall,Tasmania JackJumpers,Melbourne United,Player PRAs,19.5,1.62,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Finn Delany,Melbourne United,Tasmania JackJumpers,Player PRAs,19.5,2,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Tyger Campbell,Tasmania JackJumpers,Melbourne United,Player PRAs,19.5,2.05,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Chris Goulding,Melbourne United,Tasmania JackJumpers,Player PRAs,19.5,3.1,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Finn Delany,Melbourne United,Tasmania JackJumpers,Player PRAs,17.5,1.57,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Tyger Campbell,Tasmania JackJumpers,Melbourne United,Player PRAs,17.5,1.62,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Chris Goulding,Melbourne United,Tasmania JackJumpers,Player PRAs,17.5,2.3,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Joshua Bannan,NA,NA,Player PRAs,39.5,5,NA,Dabble
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Joshua Bannan,NA,NA,Player PRAs,29.5,1.57,NA,Dabble
