match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Chris Goulding,Melbourne United,9.5,1.05,NA,Pointsbet,Illawarra Hawks,2094978,78375462,1006,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Trey Kell,Illawarra Hawks,9.5,1.0667,NA,Pointsbet,Melbourne United,2094978,78375462,1004,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Tyler Harvey,Illawarra Hawks,9.5,1.08,NA,Pointsbet,Melbourne United,2094978,78375462,1003,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Sam Froling,Illawarra Hawks,9.5,1.1667,NA,Pointsbet,Melbourne United,2094978,78375462,1002,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Jack White,Melbourne United,9.5,1.267,NA,Pointsbet,Illawarra Hawks,2094978,78375462,1008,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Darius Days,Illawarra Hawks,9.5,1.2858,NA,Pointsbet,Melbourne United,2094978,78375462,1001,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Shea Ili,Melbourne United,9.5,1.308,NA,Pointsbet,Illawarra Hawks,2094978,78375462,1007,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Matthew Dellavedova,Melbourne United,9.5,1.5883,NA,Pointsbet,Illawarra Hawks,2094978,78375462,1005,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Chris Goulding,Melbourne United,14.5,1.2858,NA,Pointsbet,Illawarra Hawks,2094978,78375463,1006,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Trey Kell,Illawarra Hawks,14.5,1.334,NA,Pointsbet,Melbourne United,2094978,78375463,1004,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Tyler Harvey,Illawarra Hawks,14.5,1.3572,NA,Pointsbet,Melbourne United,2094978,78375463,1003,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Sam Froling,Illawarra Hawks,14.5,1.6456,NA,Pointsbet,Melbourne United,2094978,78375463,1002,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Jack White,Melbourne United,14.5,2.05,NA,Pointsbet,Illawarra Hawks,2094978,78375463,1008,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Darius Days,Illawarra Hawks,14.5,2.15,NA,Pointsbet,Melbourne United,2094978,78375463,1001,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Shea Ili,Melbourne United,14.5,2.2,NA,Pointsbet,Illawarra Hawks,2094978,78375463,1007,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Matthew Dellavedova,Melbourne United,14.5,3.4,NA,Pointsbet,Illawarra Hawks,2094978,78375463,1005,NA
