match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Zylan Cheatham,Adelaide 36ers,5.5,1.1,NA,Pointsbet,Sydney Kings,2454984,96887414,1001,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Tim Soares,Sydney Kings,5.5,1.25,NA,Pointsbet,Adelaide 36ers,2454984,96887414,1004,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Xavier Cooks,Sydney Kings,5.5,1.2858,NA,Pointsbet,Adelaide 36ers,2454984,96887414,1003,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Issac Humphries,NA,5.5,1.5556,NA,Pointsbet,NA,2454984,96887414,1002,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Zylan Cheatham,Adelaide 36ers,7.5,1.334,NA,Pointsbet,Sydney Kings,2454984,96887415,1001,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Tim Soares,Sydney Kings,7.5,1.77,NA,Pointsbet,Adelaide 36ers,2454984,96887415,1004,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Xavier Cooks,Sydney Kings,7.5,1.8696,NA,Pointsbet,Adelaide 36ers,2454984,96887415,1003,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Issac Humphries,NA,7.5,2.75,NA,Pointsbet,NA,2454984,96887415,1002,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Zylan Cheatham,Adelaide 36ers,9.5,1.9091,NA,Pointsbet,Sydney Kings,2454984,96887416,1001,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Tim Soares,Sydney Kings,9.5,3.1,NA,Pointsbet,Adelaide 36ers,2454984,96887416,1004,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Xavier Cooks,Sydney Kings,9.5,3.4,NA,Pointsbet,Adelaide 36ers,2454984,96887416,1003,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Issac Humphries,NA,9.5,6.5,NA,Pointsbet,NA,2454984,96887416,1002,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Zylan Cheatham,Adelaide 36ers,11.5,3.2,NA,Pointsbet,Sydney Kings,2454984,96887417,1001,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Tim Soares,Sydney Kings,11.5,6.5,NA,Pointsbet,Adelaide 36ers,2454984,96887417,1004,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Xavier Cooks,Sydney Kings,11.5,7.5,NA,Pointsbet,Adelaide 36ers,2454984,96887417,1003,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Issac Humphries,NA,11.5,13,NA,Pointsbet,NA,2454984,96887417,1002,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Zylan Cheatham,Adelaide 36ers,13.5,6.5,NA,Pointsbet,Sydney Kings,2454984,96887418,1001,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Tim Soares,Sydney Kings,13.5,13,NA,Pointsbet,Adelaide 36ers,2454984,96887418,1004,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Xavier Cooks,Sydney Kings,13.5,15,NA,Pointsbet,Adelaide 36ers,2454984,96887418,1003,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Issac Humphries,NA,13.5,19,NA,Pointsbet,NA,2454984,96887418,1002,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Zylan Cheatham,Adelaide 36ers,15.5,12,NA,Pointsbet,Sydney Kings,2454984,96887419,1001,NA
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Issac Humphries,NA,6.5,2.05,1.746,Pointsbet,NA,2454984,96887450,1017,1018
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Tim Soares,Sydney Kings,7.5,1.77,1.9524,Pointsbet,Adelaide 36ers,2454984,96887450,1013,1014
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Xavier Cooks,Sydney Kings,7.5,1.8696,1.8696,Pointsbet,Adelaide 36ers,2454984,96887450,1015,1016
Adelaide 36ers v Sydney Kings,Adelaide 36ers,Sydney Kings,Player Rebounds,Zylan Cheatham,Adelaide 36ers,9.5,1.9091,1.834,Pointsbet,Sydney Kings,2454984,96887450,1003,1004
