match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Kendric Davis,Sydney Kings,0.5,1.08,NA,Pointsbet,Cairns Taipans,2585260,102490976,1004,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Torrey Craig,Sydney Kings,0.5,1.1,NA,Pointsbet,Cairns Taipans,2585260,102490976,1006,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Jack McVeigh,Cairns Taipans,0.5,1.1112,NA,Pointsbet,Sydney Kings,2585260,102490976,1002,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Kyrin Galloway,Cairns Taipans,0.5,1.1429,NA,Pointsbet,Sydney Kings,2585260,102490976,1001,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Mojave King,Cairns Taipans,0.5,1.1429,NA,Pointsbet,Sydney Kings,2585260,102490976,1003,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Kouat Noi,Sydney Kings,0.5,1.1429,NA,Pointsbet,Cairns Taipans,2585260,102490976,1005,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Kendric Davis,Sydney Kings,1.5,1.4762,NA,Pointsbet,Cairns Taipans,2585260,102490977,1004,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Jack McVeigh,Cairns Taipans,2.5,2.45,NA,Pointsbet,Sydney Kings,2585260,102490978,1002,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Torrey Craig,Sydney Kings,2.5,2.55,NA,Pointsbet,Cairns Taipans,2585260,102490978,1006,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Mojave King,Cairns Taipans,2.5,3,NA,Pointsbet,Sydney Kings,2585260,102490978,1003,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Kyrin Galloway,Cairns Taipans,2.5,3.2,NA,Pointsbet,Sydney Kings,2585260,102490978,1001,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Kouat Noi,Sydney Kings,2.5,3.2,NA,Pointsbet,Cairns Taipans,2585260,102490978,1005,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Kendric Davis,Sydney Kings,3.5,4.5,NA,Pointsbet,Cairns Taipans,2585260,102490979,1004,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Torrey Craig,Sydney Kings,3.5,4.9,NA,Pointsbet,Cairns Taipans,2585260,102490979,1006,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Jack McVeigh,Cairns Taipans,3.5,5.5,NA,Pointsbet,Sydney Kings,2585260,102490979,1002,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Mojave King,Cairns Taipans,3.5,6,NA,Pointsbet,Sydney Kings,2585260,102490979,1003,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Kyrin Galloway,Cairns Taipans,3.5,6.5,NA,Pointsbet,Sydney Kings,2585260,102490979,1001,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Kouat Noi,Sydney Kings,3.5,6.5,NA,Pointsbet,Cairns Taipans,2585260,102490979,1005,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Kendric Davis,Sydney Kings,4.5,8.5,NA,Pointsbet,Cairns Taipans,2585260,102490980,1004,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Torrey Craig,Sydney Kings,4.5,9.5,NA,Pointsbet,Cairns Taipans,2585260,102490980,1006,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Jack McVeigh,Cairns Taipans,4.5,10,NA,Pointsbet,Sydney Kings,2585260,102490980,1002,NA
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Kendric Davis,Sydney Kings,2.5,2.45,1.52,Pointsbet,Cairns Taipans,2585260,102490954,1005,1006
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Jack McVeigh,Cairns Taipans,1.5,1.6,2.25,Pointsbet,Sydney Kings,2585260,102490954,1015,1016
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Kouat Noi,Sydney Kings,1.5,1.75,2,Pointsbet,Cairns Taipans,2585260,102490954,1019,1020
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Kyrin Galloway,Cairns Taipans,1.5,1.75,2,Pointsbet,Sydney Kings,2585260,102490954,1021,1022
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Mojave King,Cairns Taipans,1.5,1.7,2.1,Pointsbet,Sydney Kings,2585260,102490954,1023,1024
Cairns Taipans v Sydney Kings,Cairns Taipans,Sydney Kings,Player Threes,Torrey Craig,Sydney Kings,1.5,1.55,2.35,Pointsbet,Cairns Taipans,2585260,102490954,1025,1026
