match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
South East Melbourne Phoenix v Illawarra Hawks,South East Melbourne Phoenix,Illawarra Hawks,Player Assists,Derrick Walton Jr,South East Melbourne Phoenix,7.5,4.1,NA,Sportsbet,Illawarra Hawks,146,10605,13031410,466104512,2251830737,NA
South East Melbourne Phoenix v Illawarra Hawks,South East Melbourne Phoenix,Illawarra Hawks,Player Assists,Nathan Sobey,South East Melbourne Phoenix,7.5,8.75,NA,Sportsbet,Illawarra Hawks,146,10605,13031410,466104512,2251830738,NA
South East Melbourne Phoenix v Illawarra Hawks,South East Melbourne Phoenix,Illawarra Hawks,Player Assists,Derrick Walton Jr,South East Melbourne Phoenix,5.5,2.07,NA,Sportsbet,Illawarra Hawks,146,10605,13031410,466104511,2251830734,NA
South East Melbourne Phoenix v Illawarra Hawks,South East Melbourne Phoenix,Illawarra Hawks,Player Assists,Nathan Sobey,South East Melbourne Phoenix,5.5,3.25,NA,Sportsbet,Illawarra Hawks,146,10605,13031410,466104511,2251830735,NA
South East Melbourne Phoenix v Illawarra Hawks,South East Melbourne Phoenix,Illawarra Hawks,Player Assists,Trey Kell,Illawarra Hawks,5.5,4.6,NA,Sportsbet,South East Melbourne Phoenix,146,10605,13031410,466104511,2251837824,NA
South East Melbourne Phoenix v Illawarra Hawks,South East Melbourne Phoenix,Illawarra Hawks,Player Assists,Tyler Harvey,Illawarra Hawks,5.5,8.25,NA,Sportsbet,South East Melbourne Phoenix,146,10605,13031410,466104511,2251837825,NA
South East Melbourne Phoenix v Illawarra Hawks,South East Melbourne Phoenix,Illawarra Hawks,Player Assists,Derrick Walton Jr,South East Melbourne Phoenix,3.5,1.31,NA,Sportsbet,Illawarra Hawks,146,10605,13031410,466104510,2251830731,NA
South East Melbourne Phoenix v Illawarra Hawks,South East Melbourne Phoenix,Illawarra Hawks,Player Assists,Nathan Sobey,South East Melbourne Phoenix,3.5,1.61,NA,Sportsbet,Illawarra Hawks,146,10605,13031410,466104510,2251830732,NA
South East Melbourne Phoenix v Illawarra Hawks,South East Melbourne Phoenix,Illawarra Hawks,Player Assists,Angus Glover,South East Melbourne Phoenix,3.5,3.7,NA,Sportsbet,Illawarra Hawks,146,10605,13031410,466104510,2251830730,NA
South East Melbourne Phoenix v Illawarra Hawks,South East Melbourne Phoenix,Illawarra Hawks,Player Assists,Trey Kell,Illawarra Hawks,3.5,1.86,NA,Sportsbet,South East Melbourne Phoenix,146,10605,13031410,466104510,2251837821,NA
South East Melbourne Phoenix v Illawarra Hawks,South East Melbourne Phoenix,Illawarra Hawks,Player Assists,Tyler Harvey,Illawarra Hawks,3.5,2.6,NA,Sportsbet,South East Melbourne Phoenix,146,10605,13031410,466104510,2251837822,NA
