match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Javale McGee,NA,14.5,1.14,NA,Sportsbet,NA,146,10605,14766072,541657988,2579770068,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Quentin Peterson,NA,14.5,1.98,NA,Sportsbet,NA,146,10605,14766072,541657988,2579770069,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Tyler Harvey,Illawarra Hawks,14.5,1.45,NA,Sportsbet,Melbourne United,146,10605,14766072,541657988,2579770070,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,William Hickey,Illawarra Hawks,14.5,1.58,NA,Sportsbet,Melbourne United,146,10605,14766072,541657988,2579770071,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Chris Goulding,Melbourne United,14.5,1.78,NA,Sportsbet,Illawarra Hawks,146,10605,14766072,541657988,2579770062,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Jesse Edwards,Melbourne United,14.5,1.93,NA,Sportsbet,Illawarra Hawks,146,10605,14766072,541657988,2579770064,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Milton Doyle,Melbourne United,14.5,1.73,NA,Sportsbet,Illawarra Hawks,146,10605,14766072,541657988,2579770065,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Tyson Walker,Melbourne United,14.5,2.02,NA,Sportsbet,Illawarra Hawks,146,10605,14766072,541657988,2579770066,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Finn Delany,Melbourne United,14.5,3,NA,Sportsbet,Illawarra Hawks,146,10605,14766072,541657988,2579770063,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Javale McGee,NA,24.5,2.5,NA,Sportsbet,NA,146,10605,14766072,541657990,2579770090,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Tyler Harvey,Illawarra Hawks,24.5,5.4,NA,Sportsbet,Melbourne United,146,10605,14766072,541657990,2579770092,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,William Hickey,Illawarra Hawks,24.5,7,NA,Sportsbet,Melbourne United,146,10605,14766072,541657990,2579770093,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Quentin Peterson,NA,24.5,10,NA,Sportsbet,NA,146,10605,14766072,541657990,2579770091,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Chris Goulding,Melbourne United,24.5,7.25,NA,Sportsbet,Illawarra Hawks,146,10605,14766072,541657990,2579770084,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Milton Doyle,Melbourne United,24.5,7.75,NA,Sportsbet,Illawarra Hawks,146,10605,14766072,541657990,2579770087,NA
