match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Player PRAs,Bryce Cotton,Adelaide 36ers,38.5,1.95,1.79,Sportsbet,Cairns Taipans,146,10605,14728718,540755085,2575230641,2575230642
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Player PRAs,Isaac Humphries,Adelaide 36ers,20.5,1.84,1.89,Sportsbet,Cairns Taipans,146,10605,14728718,540755086,2575230643,2575230644
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Player PRAs,Zylan Cheatham,Adelaide 36ers,27.5,1.88,1.85,Sportsbet,Cairns Taipans,146,10605,14728718,540755087,2575230645,2575230646
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Player PRAs,Dejan Vasiljevic,Adelaide 36ers,17.5,1.88,1.85,Sportsbet,Cairns Taipans,146,10605,14728718,540755088,2575230647,2575230648
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Player PRAs,Flynn Cameron,Adelaide 36ers,17.5,1.88,1.85,Sportsbet,Cairns Taipans,146,10605,14728718,540755089,2575230649,2575230650
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Player PRAs,Jack McVeigh,Cairns Taipans,30.5,1.91,1.82,Sportsbet,Adelaide 36ers,146,10605,14728718,540755090,2575230651,2575230652
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Player PRAs,Mojave King,Cairns Taipans,20.5,1.93,1.77,Sportsbet,Adelaide 36ers,146,10605,14728718,540755091,2575230653,2575230654
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Player PRAs,Admiral Schofield,Cairns Taipans,21.5,1.84,1.85,Sportsbet,Adelaide 36ers,146,10605,14728718,540755092,2575230655,2575230656
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Player PRAs,Andrew Andrews,Cairns Taipans,24.5,1.94,1.77,Sportsbet,Adelaide 36ers,146,10605,14728718,540755093,2575230657,2575230658
Adelaide 36ers v Cairns Taipans,Adelaide 36ers,Cairns Taipans,Player PRAs,Kyrin Galloway,Cairns Taipans,15.5,1.75,1.96,Sportsbet,Adelaide 36ers,146,10605,14728718,540755094,2575230659,2575230660
