match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Xavier Cooks,Sydney Kings,9.5,2.45,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599125,2530093900,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Tim Soares,Sydney Kings,9.5,4.9,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599125,2530093899,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Sam Mennenga,New Zealand Breakers,9.5,3.3,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599125,2530093896,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Karim López,New Zealand Breakers,9.5,4.8,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599125,2530093893,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Tim Soares,Sydney Kings,5.5,1.54,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599123,2530093877,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Xavier Cooks,Sydney Kings,5.5,1.17,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599123,2530093878,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Jaylin Galloway,Sydney Kings,5.5,3.3,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599123,2530093879,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Kendric Davis,Sydney Kings,5.5,3.9,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599123,2530093875,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Kouat Noi,Sydney Kings,5.5,3.6,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599123,2530093880,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Matthew Dellavedova,Sydney Kings,5.5,3.9,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599123,2530093876,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Karim López,New Zealand Breakers,5.5,1.54,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599123,2530093871,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Sam Mennenga,New Zealand Breakers,5.5,1.3,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599123,2530093874,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Rob Baker II,New Zealand Breakers,5.5,2.55,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599123,2530093873,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Izaiah Brockington,New Zealand Breakers,5.5,3.1,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599123,2530093870,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Parker Jackson-Cartwright,New Zealand Breakers,5.5,10,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599123,2530093872,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Xavier Cooks,Sydney Kings,7.5,1.64,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599124,2530093889,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Tim Soares,Sydney Kings,7.5,2.65,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599124,2530093888,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Jaylin Galloway,Sydney Kings,7.5,9.25,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599124,2530093890,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Kouat Noi,Sydney Kings,7.5,9.75,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599124,2530093891,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Kendric Davis,Sydney Kings,7.5,12,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599124,2530093886,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Matthew Dellavedova,Sydney Kings,7.5,12,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599124,2530093887,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Karim López,New Zealand Breakers,7.5,2.55,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599124,2530093882,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Sam Mennenga,New Zealand Breakers,7.5,2.02,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599124,2530093885,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Rob Baker II,New Zealand Breakers,7.5,6,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599124,2530093884,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Izaiah Brockington,New Zealand Breakers,7.5,9,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599124,2530093881,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Xavier Cooks,Sydney Kings,13.5,10.5,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599127,2530093922,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Jaylin Galloway,Sydney Kings,3.5,1.56,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599122,2530093868,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Kendric Davis,Sydney Kings,3.5,1.61,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599122,2530093864,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Kouat Noi,Sydney Kings,3.5,1.66,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599122,2530093869,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Matthew Dellavedova,Sydney Kings,3.5,1.66,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599122,2530093865,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Tim Soares,Sydney Kings,3.5,1.11,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599122,2530093866,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Izaiah Brockington,New Zealand Breakers,3.5,1.49,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599122,2530093859,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Karim López,New Zealand Breakers,3.5,1.1,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599122,2530093860,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Rob Baker II,New Zealand Breakers,3.5,1.41,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599122,2530093862,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Sam Mennenga,New Zealand Breakers,3.5,1.05,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599122,2530093863,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Parker Jackson-Cartwright,New Zealand Breakers,3.5,2.85,NA,Sportsbet,Sydney Kings,146,10605,14515339,531599122,2530093861,NA
Sydney Kings v New Zealand Breakers,Sydney Kings,New Zealand Breakers,Player Rebounds,Xavier Cooks,Sydney Kings,11.5,4.75,NA,Sportsbet,New Zealand Breakers,146,10605,14515339,531599126,2530093911,NA
