match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Bryce Cotton,Adelaide 36ers,4.5,5.8,NA,Sportsbet,Illawarra Hawks,146,10605,14916294,546660816,2605633312,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Javale McGee,NA,1.5,1.85,NA,Sportsbet,NA,146,10605,14916294,546660813,2605633292,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,William Hickey,Illawarra Hawks,1.5,1.85,NA,Sportsbet,Adelaide 36ers,146,10605,14916294,546660813,2605633295,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Quentin Peterson,NA,1.5,2.12,NA,Sportsbet,NA,146,10605,14916294,546660813,2605633293,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Tyler Harvey,Illawarra Hawks,1.5,2.3,NA,Sportsbet,Adelaide 36ers,146,10605,14916294,546660813,2605633294,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Bryce Cotton,Adelaide 36ers,1.5,1.24,NA,Sportsbet,Illawarra Hawks,146,10605,14916294,546660813,2605633288,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Zylan Cheatham,Adelaide 36ers,1.5,1.97,NA,Sportsbet,Illawarra Hawks,146,10605,14916294,546660813,2605633291,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Flynn Cameron,Adelaide 36ers,1.5,2.3,NA,Sportsbet,Illawarra Hawks,146,10605,14916294,546660813,2605633289,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Isaac Humphries,Adelaide 36ers,1.5,2.12,NA,Sportsbet,Illawarra Hawks,146,10605,14916294,546660813,2605633290,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Javale McGee,NA,0.5,1.16,NA,Sportsbet,NA,146,10605,14916294,546660812,2605633284,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Quentin Peterson,NA,0.5,1.23,NA,Sportsbet,NA,146,10605,14916294,546660812,2605633285,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Tyler Harvey,Illawarra Hawks,0.5,1.25,NA,Sportsbet,Adelaide 36ers,146,10605,14916294,546660812,2605633286,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,William Hickey,Illawarra Hawks,0.5,1.15,NA,Sportsbet,Adelaide 36ers,146,10605,14916294,546660812,2605633287,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Bryce Cotton,Adelaide 36ers,0.5,1.03,NA,Sportsbet,Illawarra Hawks,146,10605,14916294,546660812,2605633280,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Flynn Cameron,Adelaide 36ers,0.5,1.25,NA,Sportsbet,Illawarra Hawks,146,10605,14916294,546660812,2605633281,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Isaac Humphries,Adelaide 36ers,0.5,1.23,NA,Sportsbet,Illawarra Hawks,146,10605,14916294,546660812,2605633282,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Zylan Cheatham,Adelaide 36ers,0.5,1.18,NA,Sportsbet,Illawarra Hawks,146,10605,14916294,546660812,2605633283,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Javale McGee,NA,2.5,3.6,NA,Sportsbet,NA,146,10605,14916294,546660814,2605633300,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,William Hickey,Illawarra Hawks,2.5,3.6,NA,Sportsbet,Adelaide 36ers,146,10605,14916294,546660814,2605633303,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Quentin Peterson,NA,2.5,4.5,NA,Sportsbet,NA,146,10605,14916294,546660814,2605633301,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Tyler Harvey,Illawarra Hawks,2.5,5,NA,Sportsbet,Adelaide 36ers,146,10605,14916294,546660814,2605633302,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Bryce Cotton,Adelaide 36ers,2.5,1.85,NA,Sportsbet,Illawarra Hawks,146,10605,14916294,546660814,2605633296,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Zylan Cheatham,Adelaide 36ers,2.5,3.9,NA,Sportsbet,Illawarra Hawks,146,10605,14916294,546660814,2605633299,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Isaac Humphries,Adelaide 36ers,2.5,4.5,NA,Sportsbet,Illawarra Hawks,146,10605,14916294,546660814,2605633298,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Flynn Cameron,Adelaide 36ers,2.5,5.4,NA,Sportsbet,Illawarra Hawks,146,10605,14916294,546660814,2605633297,NA
Illawarra Hawks v Adelaide 36ers,Illawarra Hawks,Adelaide 36ers,Player Steals,Javale McGee,NA,3.5,8.25,NA,Sportsbet,NA,146,10605,14916294,546660815,2605633308,NA
