match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
NA,NA,NA,Player Threes,Milton Doyle,Melbourne United,2.5,2.2,NA,Sportsbet,NA,146,10605,14406332,527350164,2508292086,NA
NA,NA,NA,Player Threes,Tanner Krebs,Melbourne United,2.5,2.65,NA,Sportsbet,NA,146,10605,14406332,527350164,2519925473,NA
NA,NA,NA,Player Threes,Finn Delany,Melbourne United,2.5,3.6,NA,Sportsbet,NA,146,10605,14406332,527350164,2517962986,NA
NA,NA,NA,Player Threes,Tyson Walker,Melbourne United,2.5,3.1,NA,Sportsbet,NA,146,10605,14406332,527350164,2508292087,NA
NA,NA,NA,Player Threes,Izaiah Brockington,New Zealand Breakers,2.5,4.8,NA,Sportsbet,NA,146,10605,14406332,527350164,2508292081,NA
NA,NA,NA,Player Threes,Reuben Te Rangi,New Zealand Breakers,2.5,4.6,NA,Sportsbet,NA,146,10605,14406332,527350164,2519924864,NA
NA,NA,NA,Player Threes,Parker Jackson-Cartwright,New Zealand Breakers,2.5,5.1,NA,Sportsbet,NA,146,10605,14406332,527350164,2508292082,NA
NA,NA,NA,Player Threes,Robert Loe,New Zealand Breakers,2.5,5.25,NA,Sportsbet,NA,146,10605,14406332,527350164,2519925225,NA
NA,NA,NA,Player Threes,Robert Baker,NA,2.5,6,NA,Sportsbet,NA,146,10605,14406332,527350164,2508292083,NA
NA,NA,NA,Player Threes,Milton Doyle,Melbourne United,6.5,41,NA,Sportsbet,NA,146,10605,14406332,527350168,2508292114,NA
NA,NA,NA,Player Threes,Milton Doyle,Melbourne United,3.5,4,NA,Sportsbet,NA,146,10605,14406332,527350165,2508292093,NA
NA,NA,NA,Player Threes,Tanner Krebs,Melbourne United,3.5,5.1,NA,Sportsbet,NA,146,10605,14406332,527350165,2519925474,NA
NA,NA,NA,Player Threes,Tyson Walker,Melbourne United,3.5,6.75,NA,Sportsbet,NA,146,10605,14406332,527350165,2508292094,NA
NA,NA,NA,Player Threes,Milton Doyle,Melbourne United,4.5,8.25,NA,Sportsbet,NA,146,10605,14406332,527350166,2508292100,NA
NA,NA,NA,Player Threes,Milton Doyle,Melbourne United,5.5,17,NA,Sportsbet,NA,146,10605,14406332,527350167,2508292107,NA
NA,NA,NA,Player Threes,Tanner Krebs,Melbourne United,5.5,23,NA,Sportsbet,NA,146,10605,14406332,527350167,2519925476,NA
NA,NA,NA,Player Threes,Finn Delany,Melbourne United,1.5,1.87,NA,Sportsbet,NA,146,10605,14406332,527350163,2517962985,NA
NA,NA,NA,Player Threes,Milton Doyle,Melbourne United,1.5,1.39,NA,Sportsbet,NA,146,10605,14406332,527350163,2508292079,NA
NA,NA,NA,Player Threes,Tanner Krebs,Melbourne United,1.5,1.6,NA,Sportsbet,NA,146,10605,14406332,527350163,2519925472,NA
NA,NA,NA,Player Threes,Tyson Walker,Melbourne United,1.5,1.69,NA,Sportsbet,NA,146,10605,14406332,527350163,2508292080,NA
NA,NA,NA,Player Threes,Izaiah Brockington,New Zealand Breakers,1.5,2.12,NA,Sportsbet,NA,146,10605,14406332,527350163,2508292074,NA
NA,NA,NA,Player Threes,Parker Jackson-Cartwright,New Zealand Breakers,1.5,2.3,NA,Sportsbet,NA,146,10605,14406332,527350163,2508292075,NA
NA,NA,NA,Player Threes,Reuben Te Rangi,New Zealand Breakers,1.5,2.15,NA,Sportsbet,NA,146,10605,14406332,527350163,2519924863,NA
NA,NA,NA,Player Threes,Robert Baker,NA,1.5,2.55,NA,Sportsbet,NA,146,10605,14406332,527350163,2508292076,NA
NA,NA,NA,Player Threes,Robert Loe,New Zealand Breakers,1.5,2.35,NA,Sportsbet,NA,146,10605,14406332,527350163,2519925224,NA
NA,NA,NA,Player Threes,Tyson Walker,Melbourne United,1.5,1.7,2.07,Sportsbet,NA,146,10605,14406332,527350104,2508291774,2508291775
NA,NA,NA,Player Threes,Robert Baker,NA,1.5,2.55,1.43,Sportsbet,NA,146,10605,14406332,527350108,2508291782,2508291783
NA,NA,NA,Player Threes,Izaiah Brockington,New Zealand Breakers,1.5,2.18,1.64,Sportsbet,NA,146,10605,14406332,527350106,2508291778,2508291779
NA,NA,NA,Player Threes,Milton Doyle,Melbourne United,2.5,2.24,1.6,Sportsbet,NA,146,10605,14406332,527350103,2508291772,2508291773
NA,NA,NA,Player Threes,Finn Delany,Melbourne United,1.5,1.87,1.83,Sportsbet,NA,146,10605,14406332,529199361,2517962994,2517962995
NA,NA,NA,Player Threes,Reuben Te Rangi,New Zealand Breakers,1.5,2.15,1.62,Sportsbet,NA,146,10605,14406332,529586465,2519924872,2519924873
NA,NA,NA,Player Threes,Robert Loe,New Zealand Breakers,1.5,2.35,1.52,Sportsbet,NA,146,10605,14406332,529586573,2519925237,2519925238
NA,NA,NA,Player Threes,Tanner Krebs,Melbourne United,1.5,1.6,2.18,Sportsbet,NA,146,10605,14406332,529586636,2519925483,2519925484
