match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Jaylen Adams,Sydney Kings,6.5,1.84,1.87,TopSport,New Zealand Breakers
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Matthew Mooney,NA,2.5,1.8,1.91,TopSport,NA
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Parker Jackson-Cartwright,New Zealand Breakers,6.5,1.9,1.81,TopSport,Sydney Kings
- Brisbane Bullets v Cairns Taipans,- Brisbane Bullets,Cairns Taipans,Player Assists,Upcoming Matches Player Assists,NA,3.5,2.31,1.55,TopSport,NA
Brisbane Bullets v Cairns Taipans,Brisbane Bullets,Cairns Taipans,Player Assists,Keandre Cook,Brisbane Bullets,2.5,1.63,2.15,TopSport,Cairns Taipans
Brisbane Bullets v Cairns Taipans,Brisbane Bullets,Cairns Taipans,Player Assists,Mitch Norton,NA,3.5,1.98,1.74,TopSport,NA
Brisbane Bullets v Cairns Taipans,Brisbane Bullets,Cairns Taipans,Player Assists,Taran Armstrong,Cairns Taipans,4.5,1.95,1.77,TopSport,Brisbane Bullets
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Xavier Cooks,Sydney Kings,1.5,1.09,NA,TopSport,New Zealand Breakers
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,NA NA,NA,1.5,1.25,NA,TopSport,NA
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Jaylen Adams,Sydney Kings,3.5,1.1,NA,TopSport,New Zealand Breakers
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Parker Jackson-Cartwright,New Zealand Breakers,3.5,1.1,NA,TopSport,Sydney Kings
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,NA NA,NA,3.5,2.4,NA,TopSport,NA
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Jaylen Adams,Sydney Kings,5.5,1.55,NA,TopSport,New Zealand Breakers
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Parker Jackson-Cartwright,New Zealand Breakers,5.5,1.55,NA,TopSport,Sydney Kings
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Xavier Cooks,Sydney Kings,5.5,3.3,NA,TopSport,New Zealand Breakers
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Jaylen Adams,Sydney Kings,7.5,2.3,NA,TopSport,New Zealand Breakers
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Parker Jackson-Cartwright,New Zealand Breakers,7.5,2.3,NA,TopSport,Sydney Kings
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Xavier Cooks,Sydney Kings,7.5,8,NA,TopSport,New Zealand Breakers
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Jaylen Adams,Sydney Kings,9.5,4.6,NA,TopSport,New Zealand Breakers
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Parker Jackson-Cartwright,New Zealand Breakers,9.5,4.6,NA,TopSport,Sydney Kings
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Jaylen Adams,Sydney Kings,11.5,9.5,NA,TopSport,New Zealand Breakers
New Zealand Breakers v Sydney Kings,New Zealand Breakers,Sydney Kings,Player Assists,Parker Jackson-Cartwright,New Zealand Breakers,11.5,9.5,NA,TopSport,Sydney Kings
Brisbane Bullets v Cairns Taipans,Brisbane Bullets,Cairns Taipans,Player Assists,Taran Armstrong,Cairns Taipans,1.5,1.07,NA,TopSport,Brisbane Bullets
Brisbane Bullets v Cairns Taipans,Brisbane Bullets,Cairns Taipans,Player Assists,NA NA,NA,1.5,1.13,NA,TopSport,NA
Brisbane Bullets v Cairns Taipans,Brisbane Bullets,Cairns Taipans,Player Assists,Rob Edwards,Cairns Taipans,1.5,1.37,NA,TopSport,Brisbane Bullets
Brisbane Bullets v Cairns Taipans,Brisbane Bullets,Cairns Taipans,Player Assists,Taran Armstrong,Cairns Taipans,3.5,1.5,NA,TopSport,Brisbane Bullets
Brisbane Bullets v Cairns Taipans,Brisbane Bullets,Cairns Taipans,Player Assists,Rob Edwards,Cairns Taipans,3.5,2.75,NA,TopSport,Brisbane Bullets
Brisbane Bullets v Cairns Taipans,Brisbane Bullets,Cairns Taipans,Player Assists,Taran Armstrong,Cairns Taipans,5.5,2.7,NA,TopSport,Brisbane Bullets
Brisbane Bullets v Cairns Taipans,Brisbane Bullets,Cairns Taipans,Player Assists,NA NA,NA,5.5,4.4,NA,TopSport,NA
Brisbane Bullets v Cairns Taipans,Brisbane Bullets,Cairns Taipans,Player Assists,Taran Armstrong,Cairns Taipans,7.5,6,NA,TopSport,Brisbane Bullets
