match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Taran Armstrong,Cairns Taipans,9.5,1.05,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Sam Froling,Illawarra Hawks,9.5,1.11,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Tanner Groves,Cairns Taipans,9.5,1.19,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Sam Waardenburg,Cairns Taipans,9.5,1.29,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Pedro Bradshaw,Cairns Taipans,9.5,1.78,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Lachlan Olbrich,Illawarra Hawks,9.5,1.79,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,William Hickey,Illawarra Hawks,9.5,1.99,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Rob Edwards,Cairns Taipans,14.5,1.22,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Trey Kell,Illawarra Hawks,14.5,1.23,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Tyler Harvey,Illawarra Hawks,14.5,1.3,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Taran Armstrong,Cairns Taipans,14.5,1.32,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Sam Froling,Illawarra Hawks,14.5,1.68,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Tanner Groves,Cairns Taipans,14.5,1.88,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Sam Waardenburg,Cairns Taipans,14.5,2.15,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Lachlan Olbrich,Illawarra Hawks,14.5,4.25,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Pedro Bradshaw,Cairns Taipans,14.5,4.25,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,William Hickey,Illawarra Hawks,14.5,5.5,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Rob Edwards,Cairns Taipans,19.5,1.72,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Trey Kell,Illawarra Hawks,19.5,1.83,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Tyler Harvey,Illawarra Hawks,19.5,2,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Taran Armstrong,Cairns Taipans,19.5,2.1,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Sam Froling,Illawarra Hawks,19.5,3.6,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Tanner Groves,Cairns Taipans,19.5,4.25,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Sam Waardenburg,Cairns Taipans,19.5,5.5,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Rob Edwards,Cairns Taipans,24.5,2.7,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Trey Kell,Illawarra Hawks,24.5,3.6,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Tyler Harvey,Illawarra Hawks,24.5,4,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Taran Armstrong,Cairns Taipans,24.5,4.5,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Tanner Groves,Cairns Taipans,24.5,11,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Rob Edwards,Cairns Taipans,29.5,5.5,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Trey Kell,Illawarra Hawks,29.5,8.5,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Tyler Harvey,Illawarra Hawks,29.5,9.5,NA,TopSport,Cairns Taipans
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Taran Armstrong,Cairns Taipans,29.5,10,NA,TopSport,Illawarra Hawks
Cairns Taipans v Illawarra Hawks,Cairns Taipans,Illawarra Hawks,Player Points,Rob Edwards,Cairns Taipans,34.5,12,NA,TopSport,Illawarra Hawks
